%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581281228149190195,3391,1581281228148504495,magnetic_field,-0.175,-0.0302,0.3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228174611867,3392,1581281228173680782,magnetic_field,-0.1754,-0.0302,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228199126093,3393,1581281228198429346,magnetic_field,-0.1753,-0.0273,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228224381061,3394,1581281228223594665,magnetic_field,-0.175,-0.0284,0.3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228249290352,3395,1581281228248572111,magnetic_field,-0.1743,-0.0288,0.3443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228274370724,3396,1581281228273485660,magnetic_field,-0.1754,-0.0295,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228299246178,3397,1581281228298446178,magnetic_field,-0.1753,-0.0265,0.3483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228324199716,3398,1581281228323457479,magnetic_field,-0.1753,-0.0262,0.3458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228349213360,3399,1581281228348337411,magnetic_field,-0.1756,-0.0261,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228374334451,3400,1581281228373430252,magnetic_field,-0.175,-0.0288,0.3471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228399042233,3401,1581281228398248195,magnetic_field,-0.1753,-0.028,0.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228424043837,3402,1581281228423243284,magnetic_field,-0.1753,-0.0284,0.3458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228449199033,3403,1581281228448370695,magnetic_field,-0.175,-0.0299,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228474271234,3404,1581281228473401784,magnetic_field,-0.1754,-0.0291,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228498968283,3405,1581281228498238801,magnetic_field,-0.1753,-0.0284,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
