Time Stamp,String
1581012215940499067,"$VNYMR,-139.022,+001.063,-000.437,-00.2291,-00.0857,+00.4127,+00.194,+00.089,-09.733,+00.001050,+00.000682,-00.041146*6E
"
1581012215965883970,"$VNYMR,-139.055,+001.062,-000.437,-00.2267,-00.0972,+00.4130,+00.198,+00.073,-09.703,+00.002232,-00.000950,-00.040937*60
"
1581012215991449117,"$VNYMR,-139.088,+001.061,-000.437,-00.2267,-00.0957,+00.4162,+00.190,+00.094,-09.709,+00.001728,+00.000359,-00.041125*6A
"
1581012216015897989,"$VNYMR,-139.120,+001.061,-000.437,-00.2294,-00.0956,+00.4160,+00.179,+00.092,-09.688,+00.000762,+00.001271,-00.042456*68
"
1581012216040780067,"$VNYMR,-139.152,+001.061,-000.438,-00.2292,-00.0885,+00.4175,+00.193,+00.111,-09.710,-00.001479,-00.000193,-00.041004*67
"
1581012216065929889,"$VNYMR,-139.184,+001.059,-000.441,-00.2307,-00.0955,+00.4143,+00.207,+00.086,-09.723,-00.001169,-00.001169,-00.042966*62
"
1581012216090693950,"$VNYMR,-139.216,+001.056,-000.444,-00.2305,-00.0856,+00.4142,+00.176,+00.098,-09.738,-00.002422,-00.002377,-00.041863*61
"
1581012216116555929,"$VNYMR,-139.248,+001.054,-000.450,-00.2307,-00.0927,+00.4143,+00.227,+00.076,-09.687,-00.005062,-00.001089,-00.040344*62
"
1581012216140754938,"$VNYMR,-139.279,+001.049,-000.455,-00.2280,-00.0943,+00.4161,+00.201,+00.097,-09.728,-00.003092,-00.003117,-00.042211*64
"
1581012216165884971,"$VNYMR,-139.309,+001.044,-000.462,-00.2306,-00.0913,+00.4159,+00.204,+00.119,-09.686,-00.002797,-00.003623,-00.039205*67
"
1581012216190821886,"$VNYMR,-139.339,+001.039,-000.467,-00.2279,-00.0886,+00.4160,+00.183,+00.130,-09.727,-00.000949,-00.002319,-00.038317*69
"
1581012216215750932,"$VNYMR,-139.369,+001.032,-000.469,-00.2293,-00.0928,+00.4128,+00.185,+00.044,-09.724,+00.000761,-00.004529,-00.040137*6D
"
1581012216240763902,"$VNYMR,-139.401,+001.027,-000.470,-00.2307,-00.0927,+00.4191,+00.165,+00.044,-09.692,-00.001922,-00.002537,-00.041502*6F
"
1581012216265822887,"$VNYMR,-139.433,+001.026,-000.470,-00.2307,-00.0927,+00.4222,+00.181,+00.068,-09.735,-00.000309,+00.000673,-00.043266*6E
"
1581012216290765047,"$VNYMR,-139.466,+001.026,-000.468,-00.2294,-00.0956,+00.4160,+00.172,+00.062,-09.728,+00.003012,+00.000222,-00.042117*6D
"
1581012216315751075,"$VNYMR,-139.499,+001.029,-000.465,-00.2307,-00.0941,+00.4111,+00.182,+00.090,-09.708,+00.003785,+00.001027,-00.041300*6C
"
1581012216341732025,"$VNYMR,-139.532,+001.031,-000.461,-00.2253,-00.0944,+00.4194,+00.184,+00.038,-09.694,+00.002341,+00.002095,-00.043723*69
"
